Recipient,Total,From Individuals,From Organization,Recipient Type,View
Oorah! PAC,10000,0,10000,LeadPAC,Republican
Tech for Campaigns,10000,10000,0,Carey,Liberal
"Estes, Ron",10000,0,10000,Candidate (R-KS04),Republican
Common Ground PAC,10000,0,10000,LeadPAC,Democrat
Big Sky Opportunity PAC,10000,0,10000,LeadPAC,Republican
Together Holding Our Majority PAC,10000,0,10000,LeadPAC,Republican
Turquoise PAC,10000,0,10000,LeadPAC,Democrat
Pineapple PAC,10000,0,10000,LeadPAC,Democrat
Impact (Schumer),10000,0,10000,LeadPAC,Democrat
Blue Hen PAC,10000,0,10000,LeadPAC,Democrat
Lobo PAC,10000,0,10000,LeadPAC,Democrat
Motor City PAC,10000,0,10000,LeadPAC,Democrat
"Avlon, John",9850,9850,0,Candidate (D-NY01),Democrat
"Liccardo, Sam T.",9600,8600,1000,Candidate (D-CA16),Democrat
Massachusetts Democratic State Cmte,9500,0,9500,Political Party,Democrat
ActBlue Non-Federal,9309,9309,0,527,Liberal
Connecticut Democratic State Central Cmte,9100,100,9000,Political Party,Democrat
Beyond Thoughts & Prayers PAC,8500,5000,3500,LeadPAC,Democrat
"Malliotakis, Nicole",8500,0,8500,Candidate (R-NY11),Republican
"Carter, Buddy",8500,0,8500,Candidate (R-GA01),Republican
"Ricketts, Pete",8500,3500,5000,Candidate (R-NES2),Republican
Perimeter PAC,8500,0,8500,LeadPAC,Democrat
"Schweikert, David",8118,3618,4500,Candidate (R-AZ01),Republican
"Haley, Nikki",8074,8074,0,Candidate (R-PRES),Republican
"Davis, Don",8002,2,8000,Candidate (D-NC01),Democrat
Mr Southern Missourian in the House,8000,0,8000,LeadPAC,Republican
"Kelly, Mike",8000,0,8000,Candidate (R-PA16),Republican
"Levin, Mike",7875,7875,0,Candidate (D-CA49),Democrat
"Gillibrand, Kirsten",7674,7674,0,Candidate (D-NYS1),Democrat
"Blackburn, Marsha",7575,3575,4000,Candidate (R-TNS1),Republican
"Suozzi, Tom",7573,5573,2000,Candidate (D-NY03),Democrat
"Beydoun, Nasser",7525,7525,0,Candidate (D-MIS2),Democrat
"Reschenthaler, Guy",7520,20,7500,Candidate (R-PA14),Republican
Treasure State PAC,7500,0,7500,LeadPAC,Democrat
"Huizenga, Bill",7500,0,7500,Candidate (R-MI04),Republican
"Smith, Jason",7500,0,7500,Candidate (R-MO08),Republican
"Barragan, Nanette",7500,0,7500,Candidate (D-CA44),Democrat
"Marshall, Roger",7500,0,7500,Candidate (R-KSS1),Republican
"Hern, Kevin",7500,0,7500,Candidate (R-OK01),Republican
Alamo PAC,7500,0,7500,LeadPAC,Republican
Tomorrow Is Meaningful,7500,0,7500,LeadPAC,Republican
Freedom Fund,7500,0,7500,LeadPAC,Republican
Razor PAC,7500,0,7500,LeadPAC,Republican
"Pallone, Frank Jr",7500,0,7500,Candidate (D-NJ06),Democrat
"Curtis, John",7500,0,7500,Candidate (R-UT03),Republican
Senate Victory PAC,7500,0,7500,Political Party,Republican
"Rosen, Jacky",7296,2296,5000,Candidate (D-NVS1),Democrat
"Kiggans, Jen",7118,3618,3500,Candidate (R-VA02),Republican
"Smith, Adrian",7000,0,7000,Candidate (R-NE03),Republican
"Ruiz, Raul",7000,0,7000,Candidate (D-CA25),Democrat
"LaHood, Darin",7000,0,7000,Candidate (R-IL16),Republican
"Correa, Lou",7000,0,7000,Candidate (D-CA46),Democrat
"Balderson, Troy",7000,0,7000,Candidate (R-OH12),Republican
RWA Fund,7000,0,7000,LeadPAC,Republican
"Bucshon, Larry",6800,3300,3500,Candidate (R-IN08),Republican
"James, John",6714,4214,2500,Candidate (R-MI10),Republican
"Aguilar, Pete",6700,2700,4000,Candidate (D-CA33),Democrat
"Harder, Josh",6600,6600,0,Candidate (D-CA09),Democrat
"Auchincloss, Jake",6600,6600,0,Candidate (D-MA04),Democrat
New York State Democratic Cmte,6600,0,6600,Political Party,Democrat
"Smucker, Lloyd",6500,0,6500,Candidate (R-PA11),Republican
Keystone America PAC,6500,0,6500,LeadPAC,Democrat
"Tenney, Claudia",6500,0,6500,Candidate (R-NY24),Republican
Keeping America Rolling PAC,6500,0,6500,LeadPAC,Republican
"DelBene, Suzan",6500,0,6500,Candidate (D-WA01),Democrat
"Allred, Colin",6481,6481,0,Candidate (D-TX32),Democrat
"Khanna, Ro",6323,6323,0,Candidate (D-CA17),Democrat
Defend Our Conservative Senate PAC,6000,0,6000,LeadPAC,Republican
"Ross, Deborah",6000,0,6000,Candidate (D-NC02),Democrat
"Garbarino, Andrew",6000,0,6000,Candidate (R-NY02),Republican
MARSHA PAC,6000,0,6000,Carey,Republican
"Neal, Richard E",6000,0,6000,Candidate (D-MA01),Democrat
"Bilirakis, Gus",6000,0,6000,Candidate (R-FL12),Republican
Shore PAC,6000,0,6000,LeadPAC,Democrat
"Slotkin, Elissa",5883,5883,0,Candidate (D-MI07),Democrat
American Revival PAC,5800,800,5000,Carey,Republican
"Sanchez, Linda",5500,0,5500,Candidate (D-CA38),Democrat
"Horsford, Steven",5500,0,5500,Candidate (D-NV04),Democrat
Continuing America's Strength & Security,5500,0,5500,LeadPAC,Republican
Luchadora PAC                                     ,5500,0,5500,LeadPAC,Democrat
"Crenshaw, Dan",5500,0,5500,Candidate (R-TX02),Republican
"Dunn, Neal",5500,0,5500,Candidate (R-FL02),Republican
"Gillen, Laura",5335,5335,0,Candidate (D-NY04),Democrat
AmeriPAC: The Fund for a Greater America,5326,326,5000,LeadPAC,Democrat
Democratic Party of Nevada,5223,223,5000,Political Party,Democrat
"McCarthy, Kevin",5070,70,5000,Candidate (R-CA20),Republican
"Emmer, Tom",5025,25,5000,Candidate (R-MN06),Republican
"Sewell, Terri",5025,25,5000,Candidate (D-AL07),Democrat
Democratic Party of Illinois,5010,10,5000,Political Party,Democrat
BRETTPAC,5000,0,5000,LeadPAC,Republican
Republican Party of Massachusetts,5000,0,5000,Political Party,Republican
Democratic Party of New Mexico,5000,0,5000,Political Party,Democrat
New Millennium PAC,5000,0,5000,LeadPAC,Democrat
Minnesota House Republican Campaign Cmte,5000,0,5000,Political Party,Republican
Giving Us Security PAC,5000,0,5000,LeadPAC,Republican
"Cardenas, Tony",5000,0,5000,Candidate (D-CA29),Democrat
"Stefanik, Elise",5000,0,5000,Candidate (R-NY21),Republican
Free State PAC,5000,0,5000,LeadPAC,Republican
GSL PAC,5000,5000,0,LeadPAC,Republican
"Cuellar, Henry",5000,0,5000,Candidate (D-TX28),Democrat
Forward Together PAC,5000,0,5000,LeadPAC,Democrat
Common Values PAC,5000,0,5000,LeadPAC,Republican
I Got Your Back PAC,5000,0,5000,LeadPAC,Democrat
"Hudson, Richard",5000,0,5000,Candidate (R-NC09),Republican
"Obernolte, Jay",5000,0,5000,Candidate (R-CA23),Republican
Republican Majority Fund,5000,0,5000,LeadPAC,Republican
"Rodgers, Cathy McMorris",5000,0,5000,Candidate (R-WA05),Republican
"Wagner, Ann",5000,0,5000,Candidate (R-MO02),Republican
"Murphy, Tammy",4800,4800,0,Candidate (D-NJS1),Democrat
"Rochester, Lisa Blunt",4763,763,4000,Candidate (D-DE01),Democrat
"Joyce, John",4750,250,4500,Candidate (R-PA13),Republican
"Ciscomani, Juan",4618,3618,1000,Candidate (R-AZ06),Republican
The Lincoln Project,4600,4600,0,Carey,Liberal
"Ehasz, Ashley",4570,4570,0,Candidate (D-PA01),Democrat
"Clyburn, James E",4550,3550,1000,Candidate (D-SC06),Democrat
"Schneider, Brad",4520,20,4500,Candidate (D-IL10),Democrat
"Miller, Carol",4500,0,4500,Candidate (R-WV01),Republican
"Cammack, Kat",4500,0,4500,Candidate (R-FL03),Republican
"Plaskett, Stacey",4500,0,4500,Candidate (D-VI00),Democrat
"Panetta, Jimmy",4500,0,4500,Candidate (D-CA19),Democrat
"Kelly, Mark",4175,4175,0,Candidate (D-AZS1),Democrat
"Sherrill, Mikie",4158,3158,1000,Candidate (D-NJ11),Democrat
"McCormick, Dave",4134,1634,2500,Candidate (R-PAS2),Republican
"Jeffries, Hakeem",4093,4093,0,Candidate (D-NY08),Democrat
"Salinas, Andrea",4000,0,4000,Candidate (D-OR06),Democrat
"Steil, Bryan",4000,0,4000,Candidate (R-WI01),Republican
Bridge the Gap PAC,4000,0,4000,LeadPAC,Democrat
First In Freedom PAC,4000,0,4000,LeadPAC,Republican
"Kuster, Ann",4000,0,4000,Candidate (D-NH02),Democrat
"Kiley, Kevin",4000,0,4000,Candidate (R-CA03),Republican
"Schmitt, Eric",4000,0,4000,Candidate (R-MOS1),Republican
"Johnson, Gloria",3985,3985,0,Candidate (D-TNS1),Democrat
"Whitesides, George",3950,3950,0,Candidate (D-CA27),Democrat
"Van Orden, Derrick",3654,3654,0,Candidate (R-WI03),Republican
"Anderson, Derrick",3618,3618,0,Candidate (R-VA07),Republican
"Molinaro, Marc",3618,3618,0,Candidate (R-NY19),Republican
"Theriault, Austin",3618,3618,0,Candidate (R-ME02),Republican
"Evans, Gabe",3618,3618,0,Candidate (R-CO08),Republican
"Williams, Brandon",3618,3618,0,Candidate (R-NY22),Republican
"Herrell, Yvette",3618,3618,0,Candidate (R-NM02),Republican
"D'Esposito, Anthony",3618,3618,0,Candidate (R-NY04),Republican
"Schiff, Adam",3607,3607,0,Candidate (D-CA30),Democrat
"Booker, Cory",3602,3602,0,Candidate (D-NJS2),Democrat
"Hawley, Josh",3601,3601,0,Candidate (R-MOS2),Republican
"Swalwell, Eric",3526,26,3500,Candidate (D-CA14),Democrat
Republican Party of Arizona,3504,3504,0,Political Party,Republican
"Capito, Shelley Moore",3500,0,3500,Candidate (R-WVS2),Republican
"Houlahan, Chrissy",3500,0,3500,Candidate (D-PA06),Democrat
"Mrvan, Frank Jr",3500,0,3500,Candidate (D-IN01),Democrat
"DeGette, Diana",3500,0,3500,Candidate (D-CO01),Democrat
"Fitzpatrick, Brian",3500,0,3500,Candidate (R-PA01),Republican
"Jobs, Opportunity & New Ideas PAC",3500,0,3500,LeadPAC,Republican
"Allen, Richard W",3500,0,3500,Candidate (R-GA12),Republican
"Arrington, Jodey",3500,0,3500,Candidate (R-TX19),Republican
"Bresnahan, Rob",3406,906,2500,Candidate (R-PA08),Republican
"Alsobrooks, Angela",3388,3388,0,Candidate (D-MDS1),Democrat
"Mucarsel-Powell, Debbie",3387,3387,0,Candidate (D-FLS1),Democrat
"Kunce, Lucas",3353,3353,0,Candidate (D-MOS2),Democrat
"Tiffany, Shawn",3300,3300,0,Candidate (R-KS02),Republican
"Cornyn, John",3300,3300,0,Candidate (R-TXS1),Republican
"Gallego, Ruben",3289,3289,0,Candidate (D-AZ03),Democrat
"Hayes, Jahana",3280,3280,0,Candidate (D-CT05),Democrat
"Tlaib, Rashida",3218,3218,0,Candidate (D-MI12),Democrat
"Ocasio-Cortez, Alexandria",3214,3214,0,Candidate (D-NY14),Democrat
"Courtney, Joe",3085,1085,2000,Candidate (D-CT02),Democrat
Forward Blue,3036,3036,0,Outside Group,Liberal
"Harshbarger, Diana",3025,25,3000,Candidate (R-TN01),Republican
"Craig, Angie",3000,3000,0,Candidate (D-MN02),Democrat
"Kelly, Robin",3000,0,3000,Candidate (D-IL02),Democrat
"Ferguson, Drew",3000,0,3000,Candidate (R-GA03),Republican
"Buchanan, Vernon",3000,0,3000,Candidate (R-FL16),Republican
Evergreen PAC,3000,0,3000,LeadPAC,Democrat
"Dahlstrom, Nancy",2812,2812,0,Candidate (R-AK01),Republican
"Webster, Daniel",2812,2812,0,Candidate (R-FL11),Republican
"Knott, Brad",2750,250,2500,Candidate (R-NC13),Republican
"Van Duyne, Beth",2660,160,2500,Candidate (R-TX24),Republican
"Rollins, Will",2622,2622,0,Candidate (D-CA41),Democrat
"Sheehy, Tim",2552,52,2500,Candidate (R-MTS1),Republican
"Hagerty, Bill",2540,40,2500,Candidate (R-TNS2),Republican
"Banks, Jim",2525,25,2500,Candidate (R-IN03),Republican
"Crapo, Mike",2500,0,2500,Candidate (R-IDS2),Republican
"Womack, Steve",2500,0,2500,Candidate (R-AR03),Republican
Tahoma PAC,2500,0,2500,LeadPAC,Democrat
"McClain, Lisa",2500,0,2500,Candidate (R-MI09),Republican
Minnesota DFL House Caucus,2500,0,2500,Political Party,Democrat
"Menendez, Robert",2500,0,2500,Candidate (I-NJS1),Independent
"Bera, Ami",2500,0,2500,Candidate (D-CA06),Democrat
Best Bernie PAC,2500,0,2500,LeadPAC,Republican
"Clarke, Yvette",2500,0,2500,Candidate (D-NY09),Democrat
"Johnson, Hank",2500,0,2500,Candidate (D-GA04),Democrat
"Gomez, Jimmy",2500,0,2500,Candidate (D-CA34),Democrat
"Feenstra, Randy",2500,0,2500,Candidate (R-IA04),Republican
Lank PAC,2500,0,2500,LeadPAC,Republican
Help Elect Republicans Now,2500,0,2500,LeadPAC,Republican
"Nadler, Jerrold",2500,0,2500,Candidate (D-NY12),Democrat
"Mullin, Markwayne",2500,0,2500,Candidate (R-OKS2),Republican
"Ernst, Joni",2500,0,2500,Candidate (R-IAS2),Republican
Getting Stuff Done PAC,2500,0,2500,LeadPAC,Independent
Buddy PAC,2500,0,2500,LeadPAC,Republican
"Britt, Katie Boyd",2500,0,2500,Candidate (R-ALS2),Republican
"McClellan, Jennifer",2500,2500,0,Candidate (D-VA04),Democrat
Madison PAC (Neal),2500,0,2500,LeadPAC,Democrat
Boots PAC,2500,0,2500,LeadPAC,Republican
Senate Eagle PAC,2500,0,2500,LeadPAC,Republican
Alabama First PAC,2500,0,2500,LeadPAC,Republican
"Luetkemeyer, Blaine",2500,0,2500,Candidate (R-MO03),Republican
"Griffith, Morgan",2500,0,2500,Candidate (R-VA09),Republican
BRIDGE PAC,2500,0,2500,LeadPAC,Democrat
RVFPAC,2500,0,2500,LeadPAC,Republican
"Thune, John",2500,0,2500,Candidate (R-SDS1),Republican
"Rouzer, David",2500,0,2500,Candidate (R-NC07),Republican
"Fischer, Deb",2420,420,2000,Candidate (R-NES1),Republican
"Bowman, Jamaal",2377,2377,0,Candidate (D-NY16),Democrat
"Kean, Thomas H Jr",2356,1356,1000,Candidate (R-NJ07),Republican
"Ramaswamy, Vivek",2340,2340,0,Candidate (R-PRES),Republican
Democratic Party of Wisconsin,2305,2305,0,Political Party,Democrat
"Soto, Darren",2250,250,2000,Candidate (D-FL09),Democrat
"Schmidt, Derek",2250,250,2000,Candidate (R-KS02),Republican
"Porter, Katie",2213,2213,0,Candidate (D-CA47),Democrat
"Pelosi, Nancy",2209,2209,0,Candidate (D-CA11),Democrat
"Murphy, Christopher S",2208,2208,0,Candidate (D-CTS1),Democrat
Democratic Party of Kansas,2200,2200,0,Political Party,Democrat
Democratic Party of Vermont,2200,2200,0,Political Party,Democrat
"Warren, Elizabeth",2172,2172,0,Candidate (D-MAS1),Democrat
"Cole, Tom",2100,600,1500,Candidate (R-OK04),Republican
Committee to Protect Medicare,2100,2100,0,Outside Group,Liberal
"Cruz, Ted",2091,2091,0,Candidate (R-TXS2),Republican
"Fetterman, John",2064,2064,0,Candidate (D-PAS1),Democrat
"Gottheimer, Josh",2050,50,2000,Candidate (D-NJ05),Democrat
"Vasquez, Gabe",2030,30,2000,Candidate (D-NM02),Democrat
"Perez, Marie Gluesenkamp",2030,2030,0,Candidate (D-WA03),Democrat
"Scholten, Hillary",2015,15,2000,Candidate (D-MI03),Democrat
"Torres, Ritchie",2013,2013,0,Candidate (D-NY15),Democrat
Be An American PAC,2000,0,2000,LeadPAC,Republican
"Murphy, Greg",2000,0,2000,Candidate (R-NC03),Republican
"Trahan, Lori",2000,500,1500,Candidate (D-MA03),Democrat
"Thanedar, Shri",2000,0,2000,Candidate (D-MI13),Democrat
"Gonzalez, Vicente",2000,0,2000,Candidate (D-TX34),Democrat
"Veasey, Marc",2000,0,2000,Candidate (D-TX33),Democrat
"Mullin, Kevin",2000,0,2000,Candidate (D-CA15),Democrat
"Thompson, Mike",2000,0,2000,Candidate (D-CA04),Democrat
"Laturner, Jake",2000,0,2000,Candidate (R-KS02),Republican
Generation Go,2000,0,2000,LeadPAC,Democrat
"Moolenaar, John",2000,0,2000,Candidate (R-MI02),Republican
"Swartz, Jessica",1855,1855,0,Candidate (D-MI04),Democrat
Early Vote Action PAC,1820,1820,0,Outside Group,Conservative
Gay & Lesbian Victory Fund,1800,1800,0,527,Liberal
"Vindman, Yevgeny 'Eugene'",1750,1750,0,Candidate (D-VA07),Democrat
"Sanders, Bernie",1714,1714,0,Candidate (I-VTS1),Independent
"Dunn, Harry",1691,1691,0,Candidate (D-MD03),Democrat
"Jones, Mondaire",1600,1600,0,Candidate (D-NY17),Democrat
"Omar, Ilhan",1595,1595,0,Candidate (D-MN05),Democrat
"Masto, Catherine Cortez",1569,1569,0,Candidate (D-NVS2),Democrat
Democratic Party of Pennsylvania,1565,1565,0,Political Party,Democrat
"Warnock, Raphael",1564,1564,0,Candidate (D-GAS2),Democrat
"Conaway, Herb",1505,505,1000,Candidate (D-NJ03),Democrat
"Sykes, Emilia",1505,5,1500,Candidate (D-OH13),Democrat
Carolina Victory Fund,1500,0,1500,LeadPAC,Democrat
"Kildee, Dan",1500,0,1500,Candidate (D-MI08),Democrat
"Lieu, Ted",1500,0,1500,Candidate (D-CA36),Democrat
"Cherfilus-McCormick, Sheila",1500,0,1500,Candidate (D-FL20),Democrat
"Takano, Mark",1500,0,1500,Candidate (D-CA39),Democrat
"Castor, Kathy",1500,0,1500,Candidate (D-FL14),Democrat
"Tillis, Thom",1500,0,1500,Candidate (R-NCS1),Republican
"Pence, Greg",1500,0,1500,Candidate (R-IN06),Republican
"Chavez-Deremer, Lori",1500,0,1500,Candidate (R-OR05),Republican
Movement Voter PAC,1500,1500,0,Carey,Liberal
Spike PAC,1500,0,1500,LeadPAC,Democrat
Freshman Protection PAC,1500,0,1500,LeadPAC,Democrat
"Kustoff, David",1500,0,1500,Candidate (R-TN08),Republican
"Fischbach, Michelle",1500,0,1500,Candidate (R-MN07),Republican
"Lee, Laurel",1500,0,1500,Candidate (R-FL15),Republican
Americans Making Opportunities PAC,1500,0,1500,LeadPAC,Democrat
"Joyce, David P",1500,0,1500,Candidate (R-OH14),Republican
"Dingell, Debbie",1500,0,1500,Candidate (D-MI06),Democrat
"Salazar, Maria",1500,0,1500,Candidate (R-FL27),Republican
"Stevens, Haley",1500,0,1500,Candidate (D-MI11),Democrat
"Johnston, Courtney",1500,1500,0,Candidate (R-TN05),Republican
"Daines, Steven",1500,0,1500,Candidate (R-MTS2),Republican
"Nickel, Wiley",1500,0,1500,Candidate (D-NC13),Democrat
Golden State Democracy PAC,1500,0,1500,LeadPAC,Democrat
"Frankel, Lois",1500,0,1500,Candidate (D-FL22),Democrat
"Mann, Tracey",1500,0,1500,Candidate (R-KS01),Republican
"Aderholt, Robert B",1500,0,1500,Candidate (R-AL04),Republican
"Graves, Sam",1500,1500,0,Candidate (R-MO06),Republican
"Amodei, Mark",1500,0,1500,Candidate (R-NV02),Republican
"Ivey, Glenn",1500,0,1500,Candidate (D-MD04),Democrat
"Moore, Blake",1500,0,1500,Candidate (R-UT01),Republican
"Fong, Vince",1500,0,1500,Candidate (R-CA20),Republican
"Kim, Andy",1472,1472,0,Candidate (D-NJ03),Democrat
"McBride, Sarah",1450,1450,0,Candidate (D-DE01),Democrat
Protect the Vote,1410,1410,0,Outside Group,Liberal
"Frost, Maxwell",1341,1341,0,Candidate (D-FL10),Democrat
Planned Parenthood Alliance,1300,1300,0,Outside Group,Liberal
"Williamson, Marianne",1284,1284,0,Candidate (D-PRES),Democrat
"Morelle, Joseph D",1250,250,1000,Candidate (D-NY25),Democrat
"Goldman, Craig",1250,1250,0,Candidate (R-TX12),Republican
"Barca, Peter William",1250,1250,0,Candidate (D-WI01),Democrat
"Gleich, Caroline",1235,1235,0,Candidate (D-UTS1),Democrat
"Van Ostern, Kevin",1235,1235,0,Candidate (D-NH02),Democrat
Democratic Party of South Carolina,1220,1220,0,Political Party,Democrat
"Himes, Jim",1100,100,1000,Candidate (D-CT04),Democrat
"Johnson, Julie",1100,100,1000,Candidate (D-TX32),Democrat
DLCC PAC,1061,1061,0,Political Party,Democrat
"Kennedy, Robert F Jr.",1060,1060,0,Candidate (I-PRES),Independent
"Comer, James",1053,53,1000,Candidate (R-KY01),Republican
"Jayapal, Susheela",1052,1052,0,Candidate (D-OR03),Democrat
"Garcia, Robert",1027,27,1000,Candidate (D-CA42),Democrat
"Donalds, Byron",1026,26,1000,Candidate (R-FL19),Republican
"Carter, Troy",1025,25,1000,Candidate (D-LA02),Democrat
"De La Cruz, Monica",1025,1025,0,Candidate (R-TX15),Republican
"Pascrell, Bill Jr",1000,0,1000,Candidate (D-NJ09),Democrat
"Waters, Maxine",1000,0,1000,Candidate (D-CA43),Democrat
"Damikolas, Allyson",1000,1000,0,Candidate (D-CA40),Democrat
Minnesota DFL Senate Caucus,1000,0,1000,Political Party,Democrat
"Diaz-Balart, Mario",1000,0,1000,Candidate (R-FL26),Republican
"Johnson, Bill",1000,0,1000,Candidate (R-OH06),Republican
"Pettersen, Brittany",1000,0,1000,Candidate (D-CO07),Democrat
"Jobs, Energy & Our Founding Fathers PAC",1000,0,1000,LeadPAC,Republican
TKJ PAC,1000,0,1000,LeadPAC,Republican
"Meeks, Gregory",1000,0,1000,Candidate (D-NY05),Democrat
"Wicker, Roger",1000,0,1000,Candidate (R-MSS2),Republican
"Rivas, Luz",1000,0,1000,Candidate (D-CA29),Democrat
"Pou, Nelida",1000,0,1000,Candidate (D-NJ09),Democrat
Winning for America PAC,1000,0,1000,Carey,Republican
"Lankford, James",1000,0,1000,Candidate (R-OKS1),Republican
"Wenstrup, Brad",1000,0,1000,Candidate (R-OH02),Republican
"Boyle, Brendan",1000,0,1000,Candidate (D-PA02),Democrat
"Escobar, Veronica",1000,0,1000,Candidate (D-TX16),Democrat
Women Vote!,1000,1000,0,Outside Group,Liberal
Impact Cmte,1000,0,1000,LeadPAC,Republican
"Latta, Bob",1000,0,1000,Candidate (R-OH05),Republican
"McHenry, Patrick",1000,0,1000,Candidate (R-NC10),Republican
"Coleman, Bonnie Watson",1000,0,1000,Candidate (D-NJ12),Democrat
"Green, Mark",1000,0,1000,Candidate (R-TN07),Republican
"Armstrong, Kelly",1000,0,1000,Candidate (R-ND01),Republican
"Pfluger, August",1000,0,1000,Candidate (R-TX11),Republican
"Fry, Russell",1000,0,1000,Candidate (R-SC07),Republican
"Eshoo, Anna",1000,1000,0,Candidate (D-CA16),Democrat
"Foster, Bill",1000,0,1000,Candidate (D-IL11),Democrat
"Moskowitz, Jared",1000,0,1000,Candidate (D-FL23),Democrat
"Lam, Clarence",1000,1000,0,Candidate (D-MD03),Democrat
"Rulli, Michael",1000,0,1000,Candidate (R-OH06),Republican
"Foxx, Virginia",1000,0,1000,Candidate (R-NC05),Republican
"Graves, Garret",1000,0,1000,Candidate (R-LA06),Republican
"Cline, Ben",1000,0,1000,Candidate (R-VA06),Republican
"Brown, Shontel",1000,0,1000,Candidate (D-OH11),Democrat
"Miller, Max",1000,0,1000,Candidate (R-OH07),Republican
"Yakym, Rudy",1000,0,1000,Candidate (R-IN02),Republican
Committee for a Democratic Future,1000,1000,0,LeadPAC,Democrat
Victory by Investing Building & Empowering PAC,1000,0,1000,LeadPAC,Democrat
Conservative Climate PAC,1000,0,1000,LeadPAC,Republican
"Brownley, Julia",1000,0,1000,Candidate (D-CA26),Democrat
"Strickland, Marilyn",1000,0,1000,Candidate (D-WA10),Democrat
"Carey, Mike",1000,0,1000,Candidate (R-OH15),Republican
Michigan Democratic State Central Cmte,956,956,0,Political Party,Democrat
"Stein, Jill",925,925,0,Candidate (3-PRES),Other Party
Powered By People,890,890,0,Carey,Democrat
"Frisch, Adam",888,888,0,Candidate (D-CO03),Democrat
"Alfonso, Joseph",850,850,0,Candidate (D-MI04),Democrat
"Kim, Young",847,847,0,Candidate (R-CA40),Republican
"Wild, Susan",837,837,0,Candidate (D-PA07),Democrat
"Zinke, Ryan",837,837,0,Candidate (R-MT01),Republican
"Brown, Sam",824,824,0,Candidate (R-NVS1),Republican
"Calvert, Ken",806,806,0,Candidate (R-CA41),Republican
"Duarte, John",806,806,0,Candidate (R-CA13),Republican
"Merrin, Derek",806,806,0,Candidate (R-OH09),Republican
"Baugh, Scott",806,806,0,Candidate (R-CA47),Republican
"Steel, Michelle",806,806,0,Candidate (R-CA45),Republican
"Bacon, Donald John",806,806,0,Candidate (R-NE02),Republican
"Coughlin, Kevin",806,806,0,Candidate (R-OH13),Republican
"Valadao, David",806,806,0,Candidate (R-CA22),Republican
"Garcia, Mike",806,806,0,Candidate (R-CA27),Republican
"Buckhout, Laurie",806,806,0,Candidate (R-NC01),Republican
"Nunn, Zach",806,806,0,Candidate (R-IA03),Republican
LCV Victory Fund,800,800,0,Outside Group,Liberal
"DeSantis, Ron",770,770,0,Candidate (R-PRES),Republican
"Kaine, Tim",764,764,0,Candidate (D-VAS1),Democrat
"Low, Evan",750,750,0,Candidate (D-CA16),Democrat
"Latimer, George",750,750,0,Candidate (D-NY16),Democrat
Liftoff PAC,750,750,0,LeadPAC,Democrat
Truth to Power,750,750,0,LeadPAC,Democrat
