Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Ruiz, Raul",4000,0,4000,Candidate (D-CA25),Democrat
"Slotkin, Elissa",3513,3513,0,Candidate (D-MI07),Democrat
"Strickland, Marilyn",3300,3300,0,Candidate (D-WA10),Democrat
"Auchincloss, Jake",3255,3255,0,Candidate (D-MA04),Democrat
"Mucarsel-Powell, Debbie",3069,3069,0,Candidate (D-FLS1),Democrat
"Rosen, Jacky",2954,454,2500,Candidate (D-NVS1),Democrat
"Omar, Ilhan",2757,2757,0,Candidate (D-MN05),Democrat
"Haley, Nikki",2571,2571,0,Candidate (R-PRES),Republican
Holding Onto Oregon's Priorities,2500,0,2500,LeadPAC,Democrat
Blue Hen PAC,2500,0,2500,LeadPAC,Democrat
"Hoyer, Steny H",2500,0,2500,Candidate (D-MD05),Democrat
"Coons, Chris",2500,0,2500,Candidate (D-DES2),Democrat
"Collins, Mike",2500,0,2500,Candidate (R-GA10),Republican
"Obernolte, Jay",2500,0,2500,Candidate (R-CA23),Republican
Getting Stuff Done PAC,2500,0,2500,LeadPAC,Independent
"Eshoo, Anna",2500,0,2500,Candidate (D-CA16),Democrat
"Keating, Bill",2500,0,2500,Candidate (D-MA09),Democrat
"Blackburn, Marsha",2500,1000,1500,Candidate (R-TNS1),Republican
"Carey, Mike",2500,0,2500,Candidate (R-OH15),Republican
"Lam, Clarence",2500,2500,0,Candidate (D-MD03),Democrat
Together Holding Our Majority PAC,2500,0,2500,LeadPAC,Republican
Building & Restoring the American Dream,2500,0,2500,LeadPAC,Republican
"Bergman, John",2500,0,2500,Candidate (R-MI01),Republican
M-PAC,2500,0,2500,LeadPAC,Democrat
"Neal, Richard E",2500,0,2500,Candidate (D-MA01),Democrat
"Reschenthaler, Guy",2500,0,2500,Candidate (R-PA14),Republican
"McConnell, Mitch",2500,0,2500,Candidate (R-KYS1),Republican
"DeGette, Diana",2500,0,2500,Candidate (D-CO01),Democrat
"Clarke, Yvette",2500,0,2500,Candidate (D-NY09),Democrat
"Bilirakis, Gus",2500,0,2500,Candidate (R-FL12),Republican
"Allred, Colin",2485,2485,0,Candidate (D-TX32),Democrat
"Ocasio-Cortez, Alexandria",2361,2361,0,Candidate (D-NY14),Democrat
"Tester, Jon",2208,2208,0,Candidate (D-MTS1),Democrat
"Cruz, Ted",2099,2099,0,Candidate (R-TXS2),Republican
"Steel, Michelle",2000,0,2000,Candidate (R-CA45),Republican
Spike PAC,2000,0,2000,LeadPAC,Democrat
"Aguilar, Pete",2000,0,2000,Candidate (D-CA33),Democrat
"Trahan, Lori",2000,0,2000,Candidate (D-MA03),Democrat
Republican National Cmte,1955,1955,0,Political Party,Republican
"Gallego, Ruben",1852,1852,0,Candidate (D-AZ03),Democrat
"Porter, Katie",1816,1816,0,Candidate (D-CA47),Democrat
"Tlaib, Rashida",1703,1703,0,Candidate (D-MI12),Democrat
"Jeffries, Hakeem",1566,1566,0,Candidate (D-NY08),Democrat
"Baldwin, Tammy",1530,1530,0,Candidate (D-WIS1),Democrat
"Khanna, Ro",1500,1500,0,Candidate (D-CA17),Democrat
"Barrasso, John",1500,0,1500,Candidate (R-WYS1),Republican
"Warren, Elizabeth",1334,1334,0,Candidate (D-MAS1),Democrat
DLCC PAC,1282,1282,0,Political Party,Democrat
"Bush, Cori",1234,1234,0,Candidate (D-MO01),Democrat
"Pressley, Ayanna",1168,1168,0,Candidate (D-MA07),Democrat
Democratic Party of Wisconsin,1125,1125,0,Political Party,Democrat
"Lewallen, Leslie",1050,1050,0,Candidate (R-WA03),Republican
"Wilkinson, Margarita",1041,1041,0,Candidate (R-CA49),Republican
"Estes, Ron",1000,0,1000,Candidate (R-KS04),Republican
Lank PAC,1000,0,1000,LeadPAC,Republican
"Moore, Blake",1000,0,1000,Candidate (R-UT01),Republican
Heartland Values PAC,1000,0,1000,Carey,Republican
"Scalise, Steve",1000,0,1000,Candidate (R-LA01),Republican
"Lankford, James",1000,0,1000,Candidate (R-OKS1),Republican
"Ross, Deborah",1000,0,1000,Candidate (D-NC02),Democrat
"Beatty, Joyce",1000,1000,0,Candidate (D-OH03),Democrat
"Tillis, Thom",1000,0,1000,Candidate (R-NCS1),Republican
"Kunce, Lucas",976,976,0,Candidate (D-MOS2),Democrat
Democratic Party of Texas,935,935,0,Political Party,Democrat
"Lee, Summer",883,883,0,Candidate (D-PA12),Democrat
National Republican Senatorial Cmte,843,843,0,Political Party,Republican
Forward Blue,829,829,0,Outside Group,Liberal
"Klee Hood, Sarah",806,806,0,Candidate (D-NY22),Democrat
"McCormick, Dave",700,700,0,Candidate (R-PAS2),Republican
"Swartz, Jessica",625,625,0,Candidate (D-MI04),Democrat
"Vindman, Yevgeny 'Eugene'",595,595,0,Candidate (D-VA07),Democrat
"Pelosi, Nancy",591,591,0,Candidate (D-CA11),Democrat
"Sanders, Bernie",523,523,0,Candidate (I-VTS1),Independent
CatholicVote.org,519,519,0,Outside Group,Conservative
"Morelle, Joseph D",500,500,0,Candidate (D-NY25),Democrat
"Murphy, Greg",500,500,0,Candidate (R-NC03),Republican
"Nouri, Preston",500,500,0,Candidate (D-PA16),Democrat
Ripple of Hope PAC (Cicilline),500,500,0,LeadPAC,Democrat
"Khairullah, Mohamed",500,500,0,Candidate (D-NJ09),Democrat
"Dunn, Harry",487,487,0,Candidate (D-MD03),Democrat
Powered By People,465,465,0,Carey,Democrat
"Masto, Catherine Cortez",443,443,0,Candidate (D-NVS2),Democrat
Democrats 2024,437,437,0,Outside Group,Liberal
Senate Majority PAC,430,430,0,Outside Group,Liberal
"Morrison, Kelly",400,400,0,Candidate (D-MN03),Democrat
Retired Americans PAC,382,382,0,Outside Group,Liberal
"Harper, Hill",375,375,0,Candidate (D-MIS2),Democrat
Gay & Lesbian Victory Fund,370,370,0,527,Liberal
Fight Like Hell PAC,350,350,0,Carey,Democrat
"Prabhudoss, John",350,350,0,Candidate (R-VA07),Republican
"Hawley, Josh",345,345,0,Candidate (R-MOS2),Republican
"Stelson, Janelle",345,345,0,Candidate (D-PA10),Democrat
"Raskin, Jamie",336,336,0,Candidate (D-MD08),Democrat
"Peltola, Mary",325,325,0,Candidate (D-AK01),Democrat
"Jayapal, Pramila",323,323,0,Candidate (D-WA07),Democrat
"O'brien, Michael",318,318,0,Candidate (D-PA10),Democrat
Democratic State Central Cmte/Maryland,308,308,0,Political Party,Democrat
"Stefanik, Elise",300,300,0,Candidate (R-NY21),Republican
"Ehr, Phil",295,295,0,Candidate (D-FL28),Democrat
AmeriPAC: The Fund for a Greater America,295,295,0,LeadPAC,Democrat
"Ramaswamy, Vivek",292,292,0,Candidate (R-PRES),Republican
"Frisch, Adam",283,283,0,Candidate (D-CO03),Democrat
Groundwork Project PAC,275,275,0,Carey,Democrat
"Lee, Barbara",275,275,0,Candidate (D-CA12),Democrat
"Kelly, Mark",270,270,0,Candidate (D-AZS1),Democrat
"Bowman, Jamaal",270,270,0,Candidate (D-NY16),Democrat
"Balint, Becca",267,267,0,Candidate (D-VT01),Democrat
"Holden, Steven",259,259,0,Candidate (D-NY21),Democrat
"McBath, Lucy",253,253,0,Candidate (D-GA07),Democrat
"Gaughran, James",250,250,0,Candidate (D-NY01),Democrat
Alliance for Black Equality,250,250,0,Outside Group,Liberal
"Melvoin, Nick",250,250,0,Candidate (D-CA30),Democrat
"Wild, Susan",235,235,0,Candidate (D-PA07),Democrat
Moms Fed Up PAC,234,234,0,LeadPAC,Democrat
"Frost, Maxwell",231,231,0,Candidate (D-FL10),Democrat
"Hammer, Trygve",225,225,0,Candidate (D-ND01),Democrat
"Fetterman, John",225,225,0,Candidate (D-PAS1),Democrat
Democratic Party of Pennsylvania,220,220,0,Political Party,Democrat
BlueWaveAmerica,215,215,0,Outside Group,Liberal
"Elliott, Glenn Frederick Jr.",215,215,0,Candidate (D-WVS1),Democrat
"Collins, Kina",208,208,0,Candidate (D-IL07),Democrat
Stand for America PAC,208,208,0,LeadPAC,Republican
"Davids, Sharice",206,206,0,Candidate (D-KS03),Democrat
"Martinez, Tekesha",205,205,0,Candidate (D-MD06),Democrat
Republican Party of Georgia,205,205,0,Political Party,Republican
"Kilbourn, Kyle",200,200,0,Candidate (D-WI07),Democrat
Truth to Power,200,200,0,LeadPAC,Democrat
"Riley, Josh",195,195,0,Candidate (D-NY19),Democrat
Our Great Task,190,190,0,Outside Group,Conservative
Democratic Party of North Carolina,190,190,0,Political Party,Democrat
"Helmer, Daniel",177,177,0,Candidate (D-VA10),Democrat
DAGA PAC,175,175,0,Political Party,Democrat
Democratic Party of Arizona,163,163,0,Political Party,Democrat
"Pugh, Pamela",163,163,0,Candidate (D-MI08),Democrat
"Crockett, Jasmine",160,160,0,Candidate (D-TX30),Democrat
"Christie, Chris",157,157,0,Candidate (R-PRES),Republican
"Ratevosian, Jirair",150,150,0,Candidate (D-CA30),Democrat
Connecticut Democratic State Central Cmte,150,150,0,Political Party,Democrat
Republican Party of Illinois,150,150,0,Political Party,Republican
"Murphy, Christopher S",146,146,0,Candidate (D-CTS1),Democrat
"Kaplan, Anna",135,135,0,Candidate (D-NY03),Democrat
"Lyerly, Kristin",129,129,0,Candidate (D-WI08),Democrat
Democratic Party of Ohio,125,125,0,Political Party,Democrat
Justice Democrats,125,125,0,Carey,Liberal
"Underwood, Lauren A",125,125,0,Candidate (D-IL14),Democrat
"Scholten, Hillary",125,125,0,Candidate (D-MI03),Democrat
Michigan Democratic State Central Cmte,120,120,0,Political Party,Democrat
"Martin, Isaiah",117,117,0,Candidate (D-TX18),Democrat
Democratic Party of Tennessee,113,113,0,Political Party,Democrat
"Krishnamoorthi, Raja",107,107,0,Candidate (D-IL08),Democrat
American SOS Project,100,100,0,Outside Group,Liberal
"Sykes, Emilia",100,100,0,Candidate (D-OH13),Democrat
"Bell, Wesley",100,100,0,Candidate (D-MO01),Democrat
"Nez, Jonathan",100,100,0,Candidate (D-AZ02),Democrat
"Low, Evan",100,100,0,Candidate (D-CA16),Democrat
"Phillips, Dean",100,100,0,Candidate (D-MN03),Democrat
Medicare for All PAC,100,100,0,LeadPAC,Democrat
"Hogan, Larry",100,100,0,Candidate (R-MDS1),Republican
"Jackson, Jeff",100,100,0,Candidate (D-NC14),Democrat
"Adams, Jennifer",100,100,0,Candidate (D-FL07),Democrat
"Pinkins, Ty",100,100,0,Candidate (D-MSS2),Democrat
"Vogel, Joseph",100,100,0,Candidate (D-MD06),Democrat
"Jones, Mondaire",95,95,0,Candidate (D-NY17),Democrat
"Stein, Jill",90,90,0,Candidate (3-PRES),Other Party
"Osborn, Dan",85,85,0,Candidate (I-NES1),Independent
"Booker, Cory",85,85,0,Candidate (D-NJS2),Democrat
"Ryan, Pat",82,82,0,Candidate (D-NY18),Democrat
"Johnson, Gloria",80,80,0,Candidate (D-TNS1),Democrat
"Delaney, April",80,80,0,Candidate (D-MD06),Democrat
Retired Dems 2024,80,80,0,Outside Group,Liberal
"Swalwell, Eric",78,78,0,Candidate (D-CA14),Democrat
"Burrows, John",77,77,0,Candidate (D-CA20),Democrat
"Scott, Tim",75,75,0,Candidate (R-SCS1),Republican
Campaign for Democracy PAC,75,75,0,Carey,Democrat
Secure Progress,75,75,0,Carey,Democrat
"Beydoun, Nasser",75,75,0,Candidate (D-MIS2),Democrat
"Rogers, Michael",75,75,0,Candidate (D-MD03),Democrat
Elect Dems Now PAC,74,74,0,LeadPAC,Democrat
"Moulton, Seth",65,65,0,Candidate (D-MA06),Democrat
"Goldman, Dan",63,63,0,Candidate (D-NY10),Democrat
"Hutchinson, W. Asa",61,61,0,Candidate (R-PRES),Republican
"Kennedy, John",60,60,0,Candidate (R-LAS2),Republican
"Engel, Kirsten",55,55,0,Candidate (D-AZ06),Democrat
"Van Orden, Derrick",55,55,0,Candidate (R-WI03),Republican
"Gray, Adam",55,55,0,Candidate (D-CA13),Democrat
"Vargas, Tony",55,55,0,Candidate (D-NE02),Democrat
Save America,54,54,0,LeadPAC,Republican
"Greene, Marjorie Taylor",51,51,0,Candidate (R-GA14),Republican
"McClellan, Jennifer",50,50,0,Candidate (D-VA04),Democrat
"Mehta, Leslie",50,50,0,Candidate (D-VA01),Democrat
Swing Left Non-Federal,50,50,0,527,Liberal
Battleground New York,50,50,0,Outside Group,Liberal
"Johnson, Ron",50,50,0,Candidate (R-WIS2),Republican
"Beltran, Joaquin",50,50,0,Candidate (D-CA42),Democrat
"Harris, Shawn",50,50,0,Candidate (D-GA14),Democrat
"Baccam, Lanon",50,50,0,Candidate (D-IA03),Democrat
"Shah, Amish",50,50,0,Candidate (D-AZ01),Democrat
"Kildee, Dan",50,50,0,Candidate (D-MI08),Democrat
"Casar, Greg",50,50,0,Candidate (D-TX35),Democrat
"Arballo, Phil",50,50,0,Candidate (D-CA13),Democrat
"Sites, Jeffrey",50,50,0,Candidate (D-OH04),Democrat
"Blazakis, Jason",50,50,0,Candidate (D-NJ07),Democrat
"Johnson, Mike",50,50,0,Candidate (R-LA04),Republican
Minocqua Brewing Co,50,50,0,Outside Group,Liberal
"Paul, Rand",50,50,0,Candidate (R-KYS2),Republican
"Boysko, Jennifer",50,50,0,Candidate (D-VA10),Democrat
"Moreno, Bernie",49,49,0,Candidate (R-OHS1),Republican
Defend Freedom Inc,48,48,0,LeadPAC,Democrat
"Suozzi, Tom",43,43,0,Candidate (D-NY03),Democrat
"Conaway, Herb",38,38,0,Candidate (D-NJ03),Democrat
"Bynum, Janelle",36,36,0,Candidate (D-OR05),Democrat
Serve America PAC,35,35,0,LeadPAC,Democrat
"Vasquez, Gabe",35,35,0,Candidate (D-NM02),Democrat
"Crow, Jason",35,35,0,Candidate (D-CO06),Democrat
"Mannion, John",35,35,0,Candidate (D-NY22),Democrat
"Rashid, Qasim",35,35,0,Candidate (D-IL11),Democrat
"Davis, Don",35,35,0,Candidate (D-NC01),Democrat
"Whitesides, George",35,35,0,Candidate (D-CA27),Democrat
"Lake, Kari",33,33,0,Candidate (R-AZS2),Republican
"Collins, Paula",32,32,0,Candidate (D-NY21),Democrat
Midwest Values PAC,30,30,0,LeadPAC,Democrat
"Salas, Rudy",30,30,0,Candidate (D-CA22),Democrat
"Gillibrand, Kirsten",30,30,0,Candidate (D-NYS1),Democrat
"Flowers, Marcus",30,30,0,Candidate (D-GA13),Democrat
"James, John",28,28,0,Candidate (R-MI10),Republican
"Wiggins, Christopher",27,27,0,Candidate (D-CA43),Democrat
"Whitehouse, Sheldon",25,25,0,Candidate (D-RIS1),Democrat
"DeSantis, Ron",25,25,0,Candidate (R-PRES),Republican
"Mcdonald Rivet, Kristen",25,25,0,Candidate (D-MI08),Democrat
"Bank, Bernadine",25,25,0,Candidate (D-WA05),Democrat
"Dean, Madeleine",25,25,0,Candidate (D-PA04),Democrat
"Trone, David",25,25,0,Candidate (D-MD06),Democrat
"Spanberger, Abigail",25,25,0,Candidate (D-VA07),Democrat
"Sheehy, Tim",25,25,0,Candidate (R-MTS1),Republican
"Uygur, Cenk",25,25,0,Candidate (D-PRES),Democrat
"Cao, Hung",25,25,0,Candidate (R-VAS1),Republican
"Duckworth, Tammy",25,25,0,Candidate (D-ILS2),Democrat
"Clyburn, James E",25,25,0,Candidate (D-SC06),Democrat
"Pilip, Mazi Melesa",25,25,0,Candidate (R-NY03),Republican
"Cotter Smasal, Missy",20,20,0,Candidate (D-VA02),Democrat
November Coalition,20,20,0,Outside Group,Liberal
Democratic Party of Montana,20,20,0,Political Party,Democrat
"Ossoff, Jon",20,20,0,Candidate (D-GAS1),Democrat
"Calvarese, Trisha",20,20,0,Candidate (D-CO04),Democrat
"Burgum, Doug",14,14,0,Candidate (R-PRES),Republican
"Wilson, Tamie",13,13,0,Candidate (D-OH04),Democrat
Her Time PAC,13,13,0,LeadPAC,Democrat
"Rollins, Will",13,13,0,Candidate (D-CA41),Democrat
"Markey, Ed",10,10,0,Candidate (D-MAS2),Democrat
"Grammer, Geoffrey",10,10,0,Candidate (D-MD06),Democrat
"Wilson, Eric",10,10,0,Candidate (D-WI03),Democrat
"Valimont, Gay",10,10,0,Candidate (D-FL01),Democrat
"Tran, Derek",10,10,0,Candidate (D-CA45),Democrat
Democratic Party of Illinois,10,10,0,Political Party,Democrat
"Altman, Sue",10,10,0,Candidate (D-NJ07),Democrat
Forward Majority Action,8,8,0,Outside Group,Liberal
"O'Donnell, Marty",7,7,0,Candidate (R-NV03),Republican
"Gillen, Laura",5,5,0,Candidate (D-NY04),Democrat
"Magaziner, Seth",5,5,0,Candidate (D-RI02),Democrat
"Lujan, Ben Ray",5,5,0,Candidate (D-NMS2),Democrat
"Hertel, Curtis",5,5,0,Candidate (D-MI07),Democrat
Save American Education Fund,5,5,0,Outside Group,Liberal
"Perez, Marie Gluesenkamp",5,5,0,Candidate (D-WA03),Democrat
"Gunter Dr, Jeff",1,1,0,Candidate (R-NVS1),Republican
"Schiff, Adam",-1734,766,-2500,Candidate (D-CA30),Democrat
"Sinema, Kyrsten",-5000,0,-5000,Candidate (I-AZS2),Independent
