Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Alsobrooks, Angela",5550,5550,0,Candidate (D-MDS1),Democrat
"Menendez, Robert",5500,0,5500,Candidate (I-NJS1),Independent
"McCarthy, Kevin",5115,115,5000,Candidate (R-CA20),Republican
"Duckworth, Tammy",5040,40,5000,Candidate (D-ILS2),Democrat
"Steel, Michelle",5036,36,5000,Candidate (R-CA45),Republican
Dirigo PAC,5000,0,5000,LeadPAC,Republican
"Ruiz, Raul",5000,0,5000,Candidate (D-CA25),Democrat
Majority Cmte PAC,5000,0,5000,Carey,Republican
Common Values PAC,5000,0,5000,LeadPAC,Republican
A New Direction PAC,5000,0,5000,LeadPAC,Democrat
"Capito, Shelley Moore",5000,0,5000,Candidate (R-WVS2),Republican
Alamo PAC,5000,0,5000,LeadPAC,Republican
BRETTPAC,5000,0,5000,LeadPAC,Republican
"Bilirakis, Gus",5000,0,5000,Candidate (R-FL12),Republican
"Valadao, David",5000,0,5000,Candidate (R-CA22),Republican
"Horsford, Steven",5000,0,5000,Candidate (D-NV04),Democrat
"Veasey, Marc",5000,0,5000,Candidate (D-TX33),Democrat
"Moolenaar, John",5000,0,5000,Candidate (R-MI02),Republican
"Gottheimer, Josh",5000,0,5000,Candidate (D-NJ05),Democrat
"Correa, Lou",5000,0,5000,Candidate (D-CA46),Democrat
Eye of the Tiger PAC,5000,0,5000,LeadPAC,Republican
Wild & Wonderful PAC,5000,0,5000,LeadPAC,Republican
Fair Shot PAC,5000,0,5000,LeadPAC,Democrat
Region Leadership PAC,5000,0,5000,LeadPAC,Democrat
"DelBene, Suzan",5000,0,5000,Candidate (D-WA01),Democrat
"Schneider, Brad",5000,0,5000,Candidate (D-IL10),Democrat
"Comer, James",5000,0,5000,Candidate (R-KY01),Republican
Getting Stuff Done PAC,5000,0,5000,LeadPAC,Independent
"Shaheen, Jeanne",5000,0,5000,Candidate (D-NHS2),Democrat
"Cornyn, John",5000,0,5000,Candidate (R-TXS1),Republican
"Bera, Ami",5000,0,5000,Candidate (D-CA06),Democrat
"Coleman, Bonnie Watson",5000,0,5000,Candidate (D-NJ12),Democrat
"Marshall, Roger",5000,0,5000,Candidate (R-KSS1),Republican
Forward Together PAC,5000,0,5000,LeadPAC,Democrat
Big Sky Opportunity PAC,5000,0,5000,LeadPAC,Republican
"Coons, Chris",5000,0,5000,Candidate (D-DES2),Democrat
"Mullin, Kevin",5000,0,5000,Candidate (D-CA15),Democrat
Excellence in Public Service,5000,0,5000,527,Conservative
Motor City PAC,5000,0,5000,LeadPAC,Democrat
Boots PAC,5000,0,5000,LeadPAC,Republican
Defend Our Conservative Senate PAC,5000,0,5000,LeadPAC,Republican
"DeGette, Diana",5000,0,5000,Candidate (D-CO01),Democrat
"Daines, Steven",5000,0,5000,Candidate (R-MTS2),Republican
"Moore, Blake",5000,0,5000,Candidate (R-UT01),Republican
"Collins, Susan M",5000,0,5000,Candidate (R-MES2),Republican
Indiana Democratic Congressional Victory Cmte,4935,4935,0,Political Party,Democrat
"Carper, Tom",4800,9800,-5000,Candidate (D-DES1),Democrat
"Nickel, Wiley",4510,10,4500,Candidate (D-NC13),Democrat
"Murphy, Greg",4500,0,4500,Candidate (R-NC03),Republican
"Griffith, Morgan",4500,0,4500,Candidate (R-VA09),Republican
"Dunn, Neal",4500,0,4500,Candidate (R-FL02),Republican
"Cole, Tom",4500,0,4500,Candidate (R-OK04),Republican
"Moore, Tim",4300,4300,0,Candidate (R-NC14),Republican
"Kennedy, Robert F Jr.",4218,4218,0,Candidate (I-PRES),Independent
"Smith, Adrian",4000,0,4000,Candidate (R-NE03),Republican
"Buchanan, Vernon",4000,0,4000,Candidate (R-FL16),Republican
"Hirono, Mazie K",4000,0,4000,Candidate (D-HIS2),Democrat
Beyond Thoughts & Prayers PAC,4000,0,4000,LeadPAC,Democrat
"Moran, Jerry",4000,0,4000,Candidate (R-KSS2),Republican
"Goldman, Craig",4000,4000,0,Candidate (R-TX12),Republican
"Arrington, Jodey",3500,0,3500,Candidate (R-TX19),Republican
"Reschenthaler, Guy",3500,0,3500,Candidate (R-PA14),Republican
"Menendez, Rob",3500,0,3500,Candidate (D-NJ08),Democrat
Victory Now PAC,3500,0,3500,LeadPAC,Democrat
"Aguilar, Pete",3500,0,3500,Candidate (D-CA33),Democrat
"Aderholt, Robert B",3500,0,3500,Candidate (R-AL04),Republican
"Ernst, Joni",3500,0,3500,Candidate (R-IAS2),Republican
"Rodgers, Cathy McMorris",3500,0,3500,Candidate (R-WA05),Republican
"Goodrich, Chuck",3300,3300,0,Candidate (R-IN05),Republican
First In Freedom PAC,3300,3300,0,LeadPAC,Republican
"Carson, Andre",3175,1175,2000,Candidate (D-IN07),Democrat
"Britt, Katie Boyd",3024,24,3000,Candidate (R-ALS2),Republican
"Baird, Jim",3000,0,3000,Candidate (R-IN04),Republican
CMR PAC,3000,0,3000,LeadPAC,Republican
"Malliotakis, Nicole",3000,0,3000,Candidate (R-NY11),Republican
"Tenney, Claudia",3000,0,3000,Candidate (R-NY24),Republican
"Van Duyne, Beth",3000,0,3000,Candidate (R-TX24),Republican
"Houchin, Erin",3000,0,3000,Candidate (R-IN09),Republican
"Cotter Smasal, Missy",3000,3000,0,Candidate (D-VA02),Democrat
"Shreve, Jefferson",3000,3000,0,Candidate (R-IN06),Republican
"Chinthala, Balaraju",2976,2976,0,Candidate (R-IN05),Republican
"Scholten, Hillary",2535,35,2500,Candidate (D-MI03),Democrat
"Hagerty, Bill",2515,15,2500,Candidate (R-TNS2),Republican
"Sherrill, Mikie",2510,10,2500,Candidate (D-NJ11),Democrat
"Sykes, Emilia",2501,1,2500,Candidate (D-OH13),Democrat
"Vasquez, Gabe",2501,1,2500,Candidate (D-NM02),Democrat
Bridge the Gap PAC,2500,0,2500,LeadPAC,Democrat
"Conaway, Herb",2500,0,2500,Candidate (D-NJ03),Democrat
"Pence, Greg",2500,0,2500,Candidate (R-IN06),Republican
Golden State Democracy PAC,2500,0,2500,LeadPAC,Democrat
"Foster, Bill",2500,0,2500,Candidate (D-IL11),Democrat
"Foushee, Valerie",2500,0,2500,Candidate (D-NC04),Democrat
People In Rural Areas Transform Elections PAC,2500,0,2500,LeadPAC,Democrat
"Kuster, Ann",2500,0,2500,Candidate (D-NH02),Democrat
"Kilmer, Derek",2500,0,2500,Candidate (D-WA06),Democrat
"Estes, Ron",2500,0,2500,Candidate (R-KS04),Republican
"Fong, Vince",2500,0,2500,Candidate (R-CA20),Republican
"Young, Todd",2500,0,2500,Candidate (R-INS2),Republican
"Hoeven, John",2500,0,2500,Candidate (R-NDS1),Republican
"Budd, Ted",2500,0,2500,Candidate (R-NCS2),Republican
Lank PAC,2500,0,2500,LeadPAC,Republican
American Innovation PAC,2500,0,2500,LeadPAC,Democrat
"Mullin, Markwayne",2500,0,2500,Candidate (R-OKS2),Republican
Kentucky State Dem Central Exec Cmte,2500,0,2500,Political Party,Democrat
Senate Majority Fund (Colorado),2500,0,2500,Outside Group,Conservative
"McConnell, Mitch",2500,0,2500,Candidate (R-KYS1),Republican
"Cuellar, Henry",2500,0,2500,Candidate (D-TX28),Democrat
"Pettersen, Brittany",2500,0,2500,Candidate (D-CO07),Democrat
"Steil, Bryan",2500,0,2500,Candidate (R-WI01),Republican
"Haley, Nikki",2302,2302,0,Candidate (R-PRES),Republican
"Tlaib, Rashida",2266,2266,0,Candidate (D-MI12),Democrat
"Bean, Aaron",2250,1250,1000,Candidate (R-FL04),Republican
"Rubio, Marco",2013,13,2000,Candidate (R-FLS2),Republican
Nutmeg PAC,2000,0,2000,LeadPAC,Democrat
"Smucker, Lloyd",2000,0,2000,Candidate (R-PA11),Republican
"Steube, Greg",2000,0,2000,Candidate (R-FL17),Republican
"Miller, Carol",2000,0,2000,Candidate (R-WV01),Republican
"Hern, Kevin",2000,0,2000,Candidate (R-OK01),Republican
"Lankford, James",2000,0,2000,Candidate (R-OKS1),Republican
"Sanchez, Linda",2000,0,2000,Candidate (D-CA38),Democrat
"Curtis, John",2000,0,2000,Candidate (R-UT03),Republican
Democratic State Central Cmte/Maryland,1700,1700,0,Political Party,Democrat
"Stein, Jill",1675,1675,0,Candidate (3-PRES),Other Party
Midwest Values PAC,1600,1600,0,LeadPAC,Democrat
"Crenshaw, Dan",1600,600,1000,Candidate (R-TX02),Republican
Democratic Party of Wisconsin,1521,1521,0,Political Party,Democrat
"Kelly, Robin",1500,0,1500,Candidate (D-IL02),Democrat
"Ferguson, Drew",1500,0,1500,Candidate (R-GA03),Republican
"Pou, Nelida",1500,0,1500,Candidate (D-NJ09),Democrat
Longleaf PAC,1500,0,1500,LeadPAC,Democrat
"Bishop, Sanford",1500,0,1500,Candidate (D-GA02),Democrat
"Reddy, Prasanth",1500,1500,0,Candidate (R-KS03),Republican
Democratic Party of New Mexico,1500,1500,0,Political Party,Democrat
"Pascrell, Bill Jr",1500,0,1500,Candidate (D-NJ09),Democrat
"Harshbarger, Diana",1500,0,1500,Candidate (R-TN01),Republican
Mr Southern Missourian in the House,1500,0,1500,LeadPAC,Republican
"Pfluger, August",1500,0,1500,Candidate (R-TX11),Republican
"Thune, John",1500,0,1500,Candidate (R-SDS1),Republican
Forward Blue,1470,1470,0,Outside Group,Liberal
"Cruz, Ted",1390,1390,0,Candidate (R-TXS2),Republican
"Lake, Kari",1300,1300,0,Candidate (R-AZS2),Republican
DAGA PAC,1265,1265,0,Political Party,Democrat
"Strickland, Marilyn",1250,250,1000,Candidate (D-WA10),Democrat
Giffords PAC,1200,1200,0,Carey,Liberal
"Gallego, Ruben",1115,1115,0,Candidate (D-AZ03),Democrat
"Rosen, Jacky",1076,576,500,Candidate (D-NVS1),Democrat
"Heinrich, Martin",1050,50,1000,Candidate (D-NMS1),Democrat
"Brown, Sherrod",1045,1045,0,Candidate (D-OHS1),Democrat
"James, Scott",1041,1041,0,Candidate (R-CO08),Republican
"Riley, Josh",1025,1025,0,Candidate (D-NY19),Democrat
"Hawley, Josh",1003,1003,0,Candidate (R-MOS2),Republican
"Clarke, Yvette",1000,0,1000,Candidate (D-NY09),Democrat
"Evans, Dwight",1000,0,1000,Candidate (D-PA03),Democrat
"Letlow, Julia",1000,0,1000,Candidate (R-LA05),Republican
"Franz, Hilary",1000,0,1000,Candidate (D-WA06),Democrat
Republican Federal Cmte of Pennsylvania,1000,0,1000,Political Party,Republican
Supporting House Problem Solvers,1000,0,1000,LeadPAC,Democrat
"Neal, Richard E",1000,0,1000,Candidate (D-MA01),Democrat
"Foxx, Virginia",1000,0,1000,Candidate (R-NC05),Republican
"Schmitt, Eric",1000,0,1000,Candidate (R-MOS1),Republican
"McHenry, Patrick",1000,0,1000,Candidate (R-NC10),Republican
"Cardenas, Tony",1000,0,1000,Candidate (D-CA29),Democrat
"Kiley, Kevin",1000,0,1000,Candidate (R-CA03),Republican
Spike PAC,1000,0,1000,LeadPAC,Democrat
"Niemeyer, Randell",1000,1000,0,Candidate (R-IN01),Republican
"Ivey, Glenn",1000,0,1000,Candidate (D-MD04),Democrat
"Gooden, Lance",1000,0,1000,Candidate (R-TX05),Republican
"Obernolte, Jay",1000,0,1000,Candidate (R-CA23),Republican
"Stutzman, Marlin",1000,0,1000,Candidate (R-IN03),Republican
"Salas, Rudy",1000,1000,0,Candidate (D-CA22),Democrat
"Rivas, Luz",1000,0,1000,Candidate (D-CA29),Democrat
"Johnson, Bill",1000,0,1000,Candidate (R-OH06),Republican
"Wenstrup, Brad",1000,0,1000,Candidate (R-OH02),Republican
"Balderson, Troy",1000,0,1000,Candidate (R-OH12),Republican
"McGarvey, Morgan",1000,0,1000,Candidate (D-KY03),Democrat
"Low, Evan",950,950,0,Candidate (D-CA16),Democrat
"Jeffries, Hakeem",847,847,0,Candidate (D-NY08),Democrat
Hoosiers for Common Sense PAC,835,835,0,Outside Group,Conservative
"Allred, Colin",826,826,0,Candidate (D-TX32),Democrat
"Ocasio-Cortez, Alexandria",777,777,0,Candidate (D-NY14),Democrat
"Porter, Katie",760,760,0,Candidate (D-CA47),Democrat
"West, Cornel",750,750,0,Candidate (I-PRES),Independent
"Baldwin, Tammy",696,696,0,Candidate (D-WIS1),Democrat
"Bowman, Jamaal",650,650,0,Candidate (D-NY16),Democrat
"Rashid, Qasim",640,640,0,Candidate (D-IL11),Democrat
"Smith, Adam",600,600,0,Candidate (D-WA09),Democrat
"Goroff, Nancy",600,600,0,Candidate (D-NY01),Democrat
"Frisch, Adam",598,598,0,Candidate (D-CO03),Democrat
"Ramaswamy, Vivek",595,595,0,Candidate (R-PRES),Republican
"Cao, Hung",559,559,0,Candidate (R-VAS1),Republican
Defeat by Tweet,543,543,0,Outside Group,Liberal
"Kelly, Mark",535,535,0,Candidate (D-AZS1),Democrat
"Rogers, Mike",520,520,0,Candidate (R-MIS2),Republican
Elect Dems Now PAC,509,509,0,LeadPAC,Democrat
Building A National Knowledgeable Security PAC,500,500,0,LeadPAC,Republican
"Schiff, Adam",445,445,0,Candidate (D-CA30),Democrat
"Omar, Ilhan",410,410,0,Candidate (D-MN05),Democrat
Early Vote Action PAC,400,400,0,Outside Group,Conservative
"Kim, Andy",393,393,0,Candidate (D-NJ03),Democrat
"Christie, Chris",390,390,0,Candidate (R-PRES),Republican
"Fetterman, John",370,370,0,Candidate (D-PAS1),Democrat
Campaign for Democracy PAC,343,343,0,Carey,Democrat
Truth to Power,330,330,0,LeadPAC,Democrat
Democrats 2024,329,329,0,Outside Group,Liberal
"Dunn, Harry",326,326,0,Candidate (D-MD03),Democrat
AmeriPAC: The Fund for a Greater America,324,324,0,LeadPAC,Democrat
"Phillips, Dean",305,305,0,Candidate (D-MN03),Democrat
"Nouri, Preston",300,300,0,Candidate (D-PA16),Democrat
"Slotkin, Elissa",291,291,0,Candidate (D-MI07),Democrat
"Vindman, Yevgeny 'Eugene'",285,285,0,Candidate (D-VA07),Democrat
"Frost, Maxwell",281,281,0,Candidate (D-FL10),Democrat
"Moskowitz, Jared",275,275,0,Candidate (D-FL23),Democrat
Republican Party of Alabama,250,250,0,Political Party,Republican
"Kent, Joe",250,250,0,Candidate (R-WA03),Republican
"Hurtado, Melissa",250,250,0,Candidate (D-CA22),Democrat
"Litaker Dr., Robin",250,250,0,Candidate (R-AL07),Republican
"Carmichael, Marc",250,250,0,Candidate (D-INS1),Democrat
"Altman, Sue",250,250,0,Candidate (D-NJ07),Democrat
Anti-Psychopath PAC,250,250,0,Outside Group,Liberal
Republican Party of Florida,250,250,0,Political Party,Republican
Fair Fight PAC,250,250,0,Carey,Liberal
"Speedy, Mike",250,250,0,Candidate (R-IN06),Republican
"Warren, Elizabeth",235,235,0,Candidate (D-MAS1),Democrat
"Pelosi, Nancy",222,222,0,Candidate (D-CA11),Democrat
"Mucarsel-Powell, Debbie",212,212,0,Candidate (D-FLS1),Democrat
Retired Americans PAC,208,208,0,Outside Group,Liberal
Republican Accountability PAC,200,200,0,Outside Group,Bipartisan
"Williamson, Marianne",200,200,0,Candidate (D-PRES),Democrat
"Trahan, Lori",200,200,0,Candidate (D-MA03),Democrat
Powered By People,192,192,0,Carey,Democrat
Champion American Values,187,187,0,Carey,Republican
"Garvey, Steve",169,169,0,Candidate (R-CAS2),Republican
"Harper, Hill",165,165,0,Candidate (D-MIS2),Democrat
"McCray, Valerie",163,163,0,Candidate (D-INS1),Democrat
"Kunce, Lucas",163,163,0,Candidate (D-MOS2),Democrat
"Scott, Tim",159,159,0,Candidate (R-SCS1),Republican
Hellfire PAC,157,157,0,LeadPAC,Republican
"Sanders, Bernie",154,154,0,Candidate (I-VTS1),Independent
"Klobuchar, Amy",150,150,0,Candidate (D-MNS2),Democrat
"Hogan, Larry",150,150,0,Candidate (R-MDS1),Republican
"Kim, David",150,150,0,Candidate (D-CA34),Democrat
"Beydoun, Nasser",150,150,0,Candidate (D-MIS2),Democrat
"Perelman, Jennifer",150,150,0,Candidate (D-FL25),Democrat
DLCC PAC,150,150,0,Political Party,Democrat
Black Men Vote,140,140,0,Outside Group,Liberal
Fearless Action,140,140,0,LeadPAC,Democrat
1776 Project,138,138,0,Carey,Conservative
"Johnson, Ron",137,137,0,Candidate (R-WIS2),Republican
"Boebert, Lauren",132,132,0,Candidate (R-CO03),Republican
"Osborn, Dan",125,125,0,Candidate (I-NES1),Independent
Our Great Task,125,125,0,Outside Group,Conservative
"Ellzey, Jake",115,115,0,Candidate (R-TX06),Republican
"Krishnamoorthi, Raja",114,114,0,Candidate (D-IL08),Democrat
"Ossoff, Jon",105,105,0,Candidate (D-GAS1),Democrat
Dirt Road Democrats PAC,105,105,0,Carey,Democrat
"Vance, J D",105,105,0,Candidate (R-OHS2),Republican
"Elder, Larry",105,105,0,Candidate (R-PRES),Republican
"Hovde, Eric",104,104,0,Candidate (R-WIS1),Republican
"Suozzi, Tom",100,100,0,Candidate (D-NY03),Democrat
"Dorris, Dale",100,100,0,Candidate (D-IN09),Democrat
"Kennedy, Timothy",100,100,0,Candidate (D-NY26),Democrat
"Balint, Becca",100,100,0,Candidate (D-VT01),Democrat
"Bynum, Janelle",100,100,0,Candidate (D-OR05),Democrat
"Figures, Shomari",100,100,0,Candidate (D-AL02),Democrat
"Pilip, Mazi Melesa",100,100,0,Candidate (R-NY03),Republican
"Booker, Cory",100,100,0,Candidate (D-NJS2),Democrat
"Tchenko, Thierry",100,100,0,Candidate (D-TXS2),Democrat
"Ridgell, Raeven",100,100,0,Candidate (D-INS1),Democrat
"Morrison, Kelly",100,100,0,Candidate (D-MN03),Democrat
"Subramanyam, Suhas",100,100,0,Candidate (D-VA10),Democrat
"Paul, Rand",88,88,0,Candidate (R-KYS2),Republican
Retired Dems 2024,85,85,0,Outside Group,Liberal
"Gleich, Caroline",83,83,0,Candidate (D-UTS1),Democrat
"Duenas, Angelica",79,79,0,Candidate (D-CA29),Democrat
"Hunt, Wesley",78,78,0,Candidate (R-TX38),Republican
"Pence, Mike",78,78,0,Candidate (R-PRES),Republican
"Teran, Raquel",75,75,0,Candidate (D-AZ03),Democrat
"Pickett, Deborah A",75,75,0,Candidate (D-IN05),Democrat
"Zinke, Ryan",70,70,0,Candidate (R-MT01),Republican
"Crockett, Jasmine",70,70,0,Candidate (D-TX30),Democrat
"Christiansen, Katrina",68,68,0,Candidate (D-NDS2),Democrat
PAC to the Future,67,67,0,LeadPAC,Democrat
Massachusetts Democratic State Cmte,65,65,0,Political Party,Democrat
BlueWaveAmerica,65,65,0,Outside Group,Liberal
"Burrows, John",65,65,0,Candidate (D-CA20),Democrat
"Martinez, Tekesha",65,65,0,Candidate (D-MD06),Democrat
Moms Fed Up PAC,63,63,0,LeadPAC,Democrat
"James, John",61,61,0,Candidate (R-MI10),Republican
"Lyerly, Kristin",60,60,0,Candidate (D-WI08),Democrat
Unleash America PAC,60,60,0,Outside Group,Conservative
"Agwan, Pervez",60,60,0,Candidate (D-TX07),Democrat
"Burgum, Doug",57,57,0,Candidate (R-PRES),Republican
"Khanna, Ro",55,55,0,Candidate (D-CA17),Democrat
"Khan, Gulrez",52,52,0,Candidate (R-TX32),Republican
"Schumer, Charles E",50,50,0,Candidate (D-NYS2),Democrat
"Lee, Barbara",50,50,0,Candidate (D-CA12),Democrat
"Cooke, Rebecca",50,50,0,Candidate (D-WI03),Democrat
"Deford, Mac",50,50,0,Candidate (D-SC01),Democrat
Fight Like Hell PAC,50,50,0,Carey,Democrat
"Flores, Mayra",50,50,0,Candidate (R-TX34),Republican
Senate Majority PAC,50,50,0,Outside Group,Liberal
Blue Senate PAC,50,50,0,LeadPAC,Democrat
"Shah, Amish",50,50,0,Candidate (D-AZ01),Democrat
"Brown, Sam",50,50,0,Candidate (R-NVS1),Republican
Republican Party of California,48,48,0,Political Party,Republican
E-PAC,48,48,0,LeadPAC,Republican
"Hassan, Maggie",45,45,0,Candidate (D-NHS1),Democrat
"Calvarese, Trisha",45,45,0,Candidate (D-CO04),Democrat
"Greene, Marjorie Taylor",43,43,0,Candidate (R-GA14),Republican
November Coalition,40,40,0,Outside Group,Liberal
El Sueno Americano,40,40,0,Carey,Republican
"Shrewsbury, Zachary",37,37,0,Candidate (D-WVS1),Democrat
"McClain, Lisa",36,36,0,Candidate (R-MI09),Republican
"Potts, Keith",35,35,0,Candidate (D-INS1),Democrat
"Gutierrez, Roland",35,35,0,Candidate (D-TXS2),Democrat
Vote Blue Majority,34,34,0,Outside Group,Liberal
"Whitesides, George",32,32,0,Candidate (D-CA27),Democrat
"Williams, Brian",32,32,0,Candidate (D-TX32),Democrat
Save American Education Fund,30,30,0,Outside Group,Liberal
"Garcia, Robert",30,30,0,Candidate (D-CA42),Democrat
"McCorkle, Ike",30,30,0,Candidate (D-CO04),Democrat
"Ciscomani, Juan",27,27,0,Candidate (R-AZ06),Republican
Defend Freedom Inc,26,26,0,LeadPAC,Democrat
National Democratic Training Cmte,25,25,0,Carey,Liberal
"Crow, Jason",25,25,0,Candidate (D-CO06),Democrat
"Luttrell, Morgan",25,25,0,Candidate (R-TX08),Republican
"Evans, Derrick",25,25,0,Candidate (R-WV01),Republican
"Jackson, Ronny",25,25,0,Candidate (R-TX13),Republican
"Kaplan, Anna",25,25,0,Candidate (D-NY03),Democrat
You Lose Fund,25,25,0,Outside Group,Liberal
"Cammack, Kat",25,25,0,Candidate (R-FL03),Republican
"Van Orden, Derrick",20,20,0,Candidate (R-WI03),Republican
Freedom Democrats,20,20,0,LeadPAC,Democrat
"Peltola, Mary",20,20,0,Candidate (D-AK01),Democrat
"Klee Hood, Sarah",20,20,0,Candidate (D-NY22),Democrat
CatholicVote.org,19,19,0,Outside Group,Conservative
"Rollins, Will",18,18,0,Candidate (D-CA41),Democrat
Medicare for All PAC,16,16,0,LeadPAC,Democrat
Democratic Party of Ohio,15,15,0,Political Party,Democrat
"Whitehouse, Sheldon",15,15,0,Candidate (D-RIS1),Democrat
"Martin, Isaiah",15,15,0,Candidate (D-TX18),Democrat
"Johnson, Gloria",14,14,0,Candidate (D-TNS1),Democrat
"Pinkins, Ty",13,13,0,Candidate (D-MSS2),Democrat
"Elliott, Glenn Frederick Jr.",13,13,0,Candidate (D-WVS1),Democrat
"Love, Preston Jr",13,13,0,Candidate (D-NES2),Democrat
"Morrow, Scott",13,13,0,Candidate (D-WYS1),Democrat
"Justice, Jim",12,12,0,Candidate (R-WVS1),Republican
"Nunn, Zach",11,11,0,Candidate (R-IA03),Republican
"Hutchinson, W. Asa",10,10,0,Candidate (R-PRES),Republican
"Bush, Cori",10,10,0,Candidate (D-MO01),Democrat
"Davids, Sharice",10,10,0,Candidate (D-KS03),Democrat
"Nez, Jonathan",10,10,0,Candidate (D-AZ02),Democrat
The People United PAC,10,10,0,Outside Group,Liberal
"Torres, Ritchie",10,10,0,Candidate (D-NY15),Democrat
Seneca Project,10,10,0,Outside Group,Liberal
"Royals, Tom",10,10,0,Candidate (R-MD06),Republican
"Kennedy, John",10,10,0,Candidate (R-LAS2),Republican
Defend Our Democracy PAC,9,9,0,Outside Group,Liberal
New York Republican Federal Campaign Cmte,8,8,0,Political Party,Republican
